region,date,consumption_liters,day_of_week,is_weekend,month,day,lag_1,lag_7,rolling_mean_7,rolling_std_7
Central,2023-01-08,15229.46,6,1,1,8,13596.9,14490.8,10624.1,4925.797910196885
Central,2023-01-09,15022.47,0,0,1,9,15229.46,5916.42,10729.622857142856,5029.2633098454035
Central,2023-01-10,12656.97,1,0,1,10,15022.47,18360.53,12030.487142857144,4746.521818790801
Central,2023-01-11,14112.66,2,0,1,11,12656.97,9499.28,11215.692857142858,3891.2856992332418
Central,2023-01-12,14876.42,3,0,1,12,14112.66,5872.65,11874.747142857143,3942.4718140684035
Central,2023-01-13,14435.92,4,0,1,13,14876.42,6632.12,13160.999999999998,3018.3397469966826
Central,2023-01-14,8748.17,5,1,1,14,14435.92,13596.9,14275.82857142857,909.3492834701165
Central,2023-01-15,15613.66,6,1,1,15,8748.17,15229.46,13583.152857142859,2298.440213026464
Central,2023-01-16,11779.96,0,0,1,16,15613.66,15022.47,13638.03857142857,2348.3508196989965
Central,2023-01-17,15457.08,1,0,1,17,11779.96,12656.97,13174.822857142857,2349.5507884750664
Central,2023-01-18,18804.31,2,0,1,18,15457.08,14112.66,13574.838571428572,2481.3561993556964
Central,2023-01-19,13651.73,3,0,1,19,18804.31,14876.42,14245.074285714287,3184.7652889124975
Central,2023-01-20,19178.85,4,0,1,20,13651.73,14435.92,14070.118571428571,3177.9336365392555
Central,2023-01-21,18688.9,5,1,1,21,19178.85,8748.17,14747.680000000002,3727.0916473661696
Central,2023-01-22,14241.69,6,1,1,22,18688.9,15613.66,16167.784285714284,2851.008431513648
Central,2023-01-23,7169.29,0,0,1,23,14241.69,11779.96,15971.788571428571,2941.183993243927
Central,2023-01-24,19739.44,1,0,1,24,7169.29,15457.08,15313.121428571429,4257.914927615897
Central,2023-01-25,13861.05,2,0,1,25,19739.44,18804.31,15924.887142857142,4577.677871769755
Central,2023-01-26,17515.2,3,0,1,26,13861.05,13651.73,15218.707142857142,4438.624497922429
Central,2023-01-27,18784.99,4,0,1,27,17515.2,19178.85,15770.631428571429,4451.4874622213965
Central,2023-01-28,9126.06,5,1,1,28,18784.99,18688.9,15714.365714285714,4403.458616250251
Central,2023-01-29,10160.18,6,1,1,29,9126.06,14241.69,14348.245714285715,4792.99171877321
Central,2023-01-30,14899.63,0,0,1,30,10160.18,7169.29,13765.172857142858,5049.510542404792
Central,2023-01-31,14875.38,1,0,1,31,14899.63,19739.44,14869.507142857141,4127.747229598385
Central,2023-02-01,9014.12,2,0,2,1,14875.38,13861.05,14174.641428571429,3538.6839144868
Central,2023-02-02,12027.07,3,0,2,2,9014.12,17515.2,13482.222857142857,4047.8438821209265
Central,2023-02-03,16376.68,4,0,2,3,12027.07,18784.99,12698.204285714286,3648.2874960856966
Central,2023-02-04,15782.91,5,1,2,4,16376.68,9126.06,12354.16,3041.7557396948673
Central,2023-02-05,6531.03,6,1,2,5,15782.91,10160.18,13305.138571428572,2901.6904018487144
Central,2023-02-06,12386.61,0,0,2,6,6531.03,14899.63,12786.68857142857,3755.775393379414
Central,2023-02-07,14436.93,1,0,2,7,12386.61,14875.38,12427.685714285715,3638.4166166015007
Central,2023-02-08,17533.61,2,0,2,8,14436.93,9014.12,12365.050000000001,3592.743740518288
Central,2023-02-09,9389.69,3,0,2,9,17533.61,12027.07,13582.119999999999,3709.5217666746935
Central,2023-02-10,15963.13,4,0,2,10,9389.69,16376.68,13205.351428571428,4015.1363059487317
Central,2023-02-11,10765.2,5,1,2,11,15963.13,15782.91,13146.272857142858,3963.405588000108
Central,2023-02-12,15870.36,6,1,2,12,10765.2,6531.03,12429.457142857142,3859.4555375973027
Central,2023-02-13,18043.51,0,0,2,13,15870.36,12386.61,13763.647142857142,2998.8973334695
Central,2023-02-14,16733.92,1,0,2,14,18043.51,14436.93,14571.775714285714,3311.842477322138
Central,2023-02-15,13078.25,2,0,2,15,16733.92,17533.61,14899.917142857144,3408.634881521312
Central,2023-02-16,18728.1,3,0,2,16,13078.25,9389.69,14263.437142857143,3247.027772028414
Central,2023-02-17,8891.92,4,0,2,17,18728.1,15963.13,15597.495714285715,2798.242109651803
Central,2023-02-18,12095.12,5,1,2,18,8891.92,10765.2,14587.322857142857,3756.5246848060424
Central,2023-02-19,5356.78,6,1,2,19,12095.12,15870.36,14777.311428571427,3559.4627073592087
Central,2023-02-20,12624.77,0,0,2,20,5356.78,18043.51,13275.371428571429,4962.854344401779
Central,2023-02-21,12042.95,1,0,2,21,12624.77,16733.92,12501.265714285712,4495.794305918428
Central,2023-02-22,12800.38,2,0,2,22,12042.95,13078.25,11831.127142857145,4091.130440842783
Central,2023-02-23,14165.11,3,0,2,23,12800.38,18728.1,11791.43142857143,4078.341066661085
Central,2023-02-24,19606.41,4,0,2,24,14165.11,8891.92,11139.575714285715,3009.423065444366
Central,2023-02-25,18361.26,5,1,2,25,19606.41,12095.12,12670.217142857144,4174.826292848258
Central,2023-02-26,9666.48,6,1,2,26,18361.26,5356.78,13565.38,4673.02656646275
Central,2023-02-27,19398.5,0,0,2,27,9666.48,12624.77,14181.051428571427,3563.4723664679836
Central,2023-02-28,9809.35,1,0,2,28,19398.5,12042.95,15148.727142857142,3967.261766297226
Central,2023-03-01,6030.27,2,0,3,1,9809.35,12800.38,14829.641428571427,4331.76989030053
Central,2023-03-02,12287.83,3,0,3,2,6030.27,14165.11,13862.482857142857,5467.30658812824
Central,2023-03-03,9555.01,4,0,3,3,12287.83,19606.41,13594.300000000001,5495.955211037779
